Transfer ID,Transfer Value,Sender ID,Receiver ID,Comment,Factor,SCW new of receiver,SCW old of receiver,Topic ID
440,100,161,161, ,1,1,1,7
441,-1,67,36,\($.$)/,0.005,1,1,6
442,1,36,67,\($.$)/,0.005,1.005,1,6
443,100,162,162, ,1,1,0,1
444,100,109,109, ,1,1,1,7
445,-50,161,109,good taste regarding series,0.005,1,1,6
446,50,109,161,good taste regarding series,0.005,1.25,1,6
447,-100,152,109,good taste regarding series,0.005,1,1,6
448,100,109,152,good taste regarding series,0.005,1.5,1,6
449,100,82,82, ,1,1,1,7
450,100,163,163, ,1,1,0,1
451,100,146,146, ,1,1,1,7
452,-10,88,146,Did enter Value below 0 in your survey because o do not know 3 people in this course.,0.005,1,1,6
453,10,146,88,Did enter Value below 0 in your survey because o do not know 3 people in this course.,0.005,1.05,1,6
454,-10,161,146,Did enter Value below 0 in your survey because i dont know enough people in this course.,0.005,1,1,6
455,10,146,161,Did enter Value below 0 in your survey because i dont know enough people in this course.,0.005,1.3,1.25,6
456,100,164,164, ,1,1,0,1
457,100,162,162, ,1,1,1,7
458,100,165,165, ,1,1,0,1
459,100,165,165, ,1,1,1,7
460,-10,161,165,hier hab was du bist arm,0.005,1,1,3
461,10,165,161,hier hab was du bist arm,0.005,1.05,1,3
462,100,166,166, ,1,1,0,1
463,100,167,167, ,1,1,0,1
464,100,164,164, ,1,1,1,7
465,-10,34,164,enjoy,0.005,1,1,2
466,10,164,34,enjoy,0.005,1.05,1,2
467,-20,164,34,Yeh le 20 :-P,0.005,1.25,1.25,3
468,20,34,164,Yeh le 20 :-P,0.005,1.125,1,3
469,100,168,168, ,1,1,0,1
470,100,160,160, ,1,1,1,7
471,-20,110,111,Asian food. I am big fan of asian food :) I like to find my places.,0.005,1,1,2
472,20,111,110,Asian food. I am big fan of asian food :) I like to find my places.,0.005,1.38,1.28,2
473,-20,111,110,It was interesting information for me,0.005,1,1,3
474,20,110,111,It was interesting information for me,0.005,1.1,1,3
475,100,169,169, ,1,1,0,1
476,100,170,170, ,1,1,0,1
477,100,171,171, ,1,1,0,1
478,100,169,169, ,1,1,1,7
479,100,71,71, ,1,1,1,7
480,100,172,172, ,1,1,0,1
481,100,89,89, ,1,1,1,7
482,100,173,173, ,1,1,0,1
483,-5,72,68,für The world is crazy better watch Die Anstalt,0.005,1,1,6
484,5,68,72,für The world is crazy better watch Die Anstalt,0.005,1.705,1.68,6
485,100,172,172, ,1,1,1,7
486,-20,170,172,-,0.005,1,1,2
487,20,172,170,-,0.005,1.1,1,2
488,-10,72,55,Pika pika!,0.005,1.05,1.05,6
489,10,55,72,Pika pika!,0.005,1.7575,1.705,6
490,100,174,174, ,1,1,0,1
491,100,173,173, ,1,1,1,7
492,100,174,174, ,1,1,1,7
493,-5,11,10,Tach ;-),0.005,1.005,1.005,4
494,5,10,11,Tach ;-),0.005,1.025125,1,4
495,100,175,175, ,1,1,0,1
496,100,176,176, ,1,1,0,1
497,100,177,177, ,1,1,0,1
498,100,176,176, ,1,1,1,7
499,100,178,178, ,1,1,0,1
500,100,29,29, ,1,1,1,7
501,100,178,178, ,1,1,1,7
502,-10,1,76,Digitale Bestechung,0.005,1,1,4
503,10,76,1,Digitale Bestechung,0.005,1.05,1,4
504,-50,73,29,Don't spend everything at once!,0.005,1,1,5
505,50,29,73,Don't spend everything at once!,0.005,1.25,1,5
506,-50,71,29,Don't spend everything at once!,0.005,1,1,1
507,50,29,71,Don't spend everything at once!,0.005,1.25,1,1
508,100,15,15, ,1,1,1,7
509,100,179,179, ,1,1,0,1
510,100,180,180, ,1,1,0,1
511,100,180,180, ,1,1,1,7
512,100,181,181, ,1,1,0,1
513,100,181,181, ,1,1,1,7
514,-10,146,4,Pointing out an important bug in the system,0.005,1,1,6
515,10,4,146,Pointing out an important bug in the system,0.005,1.05,1,6
516,-50,179,180,Connection to social network,0.005,1,1,2
517,50,180,179,Connection to social network,0.005,1.25,1,2
518,-10,110,4,Gonna try out these Asian restaurants places,0.005,1,1,3
519,10,4,110,Gonna try out these Asian restaurants places,0.005,1.05,1,3
520,-10,128,4,+10 for being a musician ^^,0.005,1,1,6
521,10,4,128,+10 for being a musician ^^,0.005,1.05,1,6
522,100,182,182, ,1,1,0,1
523,100,183,183, ,1,1,0,1
524,100,183,183, ,1,1,1,7
525,100,179,179, ,1,1,1,7
526,100,184,184, ,1,1,0,1
527,100,185,185, ,1,1,0,1
528,100,186,186, ,1,1,0,1
529,100,187,187, ,1,1,0,1
530,-20,109,183,Helped me out a lot :D,0.005,1,1,4
531,20,183,109,Helped me out a lot :D,0.005,1.1,1,4
532,-10,59,23,xoxo,0.005,1.0525,1.0525,5
533,10,23,59,xoxo,0.005,1.052625,1,5
534,-10,59,23,xoxo,0.005,1.0525,1.0525,5
535,10,23,59,xoxo,0.005,1.10525,1.052625,5
536,100,188,188, ,1,1,0,1
537,100,189,189, ,1,1,0,1
538,100,184,184, ,1,1,1,7
539,-20,110,184,Awesome idea about asking for asian restos in Munich,0.005,1,1,2
540,20,184,110,Awesome idea about asking for asian restos in Munich,0.005,1.48,1.38,2
541,-20,111,184,For suggesting that I take this course ;),0.005,1,1,5
542,20,184,111,For suggesting that I take this course ;),0.005,1.1,1,5
543,100,188,188, ,1,1,1,7
544,100,90,90, ,1,1,1,7
545,100,190,190, ,1,1,0,1
546,100,190,190, ,1,1,1,7
547,-50,140,190,Good point ..Frauds happen  so often,0.005,1,1,2
548,50,190,140,Good point ..Frauds happen  so often,0.005,1.25,1,2
549,100,191,191, ,1,1,0,1
550,100,191,191, ,1,1,1,7
551,-1,1,191,MONEYMONEYMONEY,0.005,1,1,2
552,1,191,1,MONEYMONEYMONEY,0.005,1.005,1,2
553,100,192,192, ,1,1,0,1
554,100,192,192, ,1,1,1,7
555,-25,74,192,:*,0.005,1,1,4
556,25,192,74,:*,0.005,1.125,1,4
557,-20,140,148,Connection to social network,0.005,1,1,3
558,20,148,140,Connection to social network,0.005,1.1,1,3
559,-20,118,110,I also was looking for series to watch,0.005,1,1,6
560,20,110,118,I also was looking for series to watch,0.005,1.15,1.05,6
561,100,119,119, ,1,1,1,7
562,-10,52,110,For good series recommendation,0.005,1,1,6
563,10,110,52,For good series recommendation,0.005,1.05,1,6
564,-10,43,110,For good series recommendation,0.005,1,1,6
565,10,110,43,For good series recommendation,0.005,1.05,1,6
566,-10,72,123,Thanks for the tip :),0.005,1.35,1.35,2
567,10,123,72,Thanks for the tip :),0.005,1.0675,1,2
568,100,193,193, ,1,1,0,1
569,100,193,193, ,1,1,1,7
570,100,194,194, ,1,1,0,1
571,100,194,194, ,1,1,1,7
572,100,195,195, ,1,1,0,1
573,100,166,166, ,1,1,1,7
574,100,196,196, ,1,1,0,1
575,100,196,196, ,1,1,1,7
576,100,195,195, ,1,1,1,7
577,-20,159,195,Hey hope this helps,0.005,1,1,2
578,20,195,159,Hey hope this helps,0.005,1.1,1,2
579,100,132,132, ,1,1,1,7
580,-50,108,132,Here you go !,0.005,1,1,6
581,50,132,108,Here you go !,0.005,1.25,1,6
582,-10,162,72,pikapika,0.005,1,1,4
583,10,72,162,pikapika,0.005,1.05,1,4
584,100,197,197, ,1,1,0,1
585,-40,26,195,For providing valuable information,0.005,1,1,3
586,40,195,26,For providing valuable information,0.005,1.2,1,3
587,-30,45,195,For taking up the cause of Social Responsibility,0.005,1,1,5
588,30,195,45,For taking up the cause of Social Responsibility,0.005,1.15,1,5
589,-30,139,195,For providing valuable information,0.005,1,1,6
590,30,195,139,For providing valuable information,0.005,1.15,1,6
591,-30,164,195,Please accept this Token of Gratitude,0.005,1,1,1
592,30,195,164,Please accept this Token of Gratitude,0.005,1.15,1,1
593,100,198,198, ,1,1,0,1
594,-20,149,195,As a token of Gratitude,0.005,1,1,4
595,20,195,149,As a token of Gratitude,0.005,1.1,1,4
596,100,198,198, ,1,1,1,7
